

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.869  000.857: locale set
008.566  007.697: inits 1
008.598  000.032: window checked
008.915  000.316: parsing arguments
009.301  000.386: expanding arguments
009.511  000.211: inits 2
010.621  001.109: init highlight
012.022  000.059  000.059: sourcing /Users/hongxin/.vimrc.before.fork
012.116  000.414  000.356: sourcing /Users/hongxin/.vimrc.before
018.307  004.799  004.799: sourcing /Users/hongxin/.local/share/nvim/site/autoload/plug.vim
020.930  000.137  000.137: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/autoload/provider/pythonx.vim
105.446  084.786  084.648: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/autoload/provider/python.vim
153.003  000.292  000.292: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/autoload/remote/host.vim
153.148  047.517  047.225: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/autoload/provider/python3.vim
158.294  000.012  000.012: sourcing /Users/hongxin/.vimrc.bundles.fork
169.339  000.027  000.027: sourcing /Users/hongxin/.vim/bundle/vim-fugitive/ftdetect/fugitive.vim
169.546  000.044  000.044: sourcing /Users/hongxin/.vim/bundle/ultisnips/ftdetect/snippets.vim
169.734  000.049  000.049: sourcing /Users/hongxin/.vim/bundle/vim-json/ftdetect/json.vim
169.861  000.024  000.024: sourcing /Users/hongxin/.vim/bundle/vim-less/ftdetect/less.vim
170.025  000.068  000.068: sourcing /Users/hongxin/.vim/bundle/vim-javascript/ftdetect/javascript.vim
170.165  000.045  000.045: sourcing /Users/hongxin/.vim/bundle/vim-jst/ftdetect/jst.vim
170.345  000.062  000.062: sourcing /Users/hongxin/.vim/bundle/vim-coffee-script/ftdetect/coffee.vim
170.425  000.032  000.032: sourcing /Users/hongxin/.vim/bundle/vim-coffee-script/ftdetect/vim-literate-coffeescript.vim
170.590  000.046  000.046: sourcing /Users/hongxin/.vim/bundle/vim-haml/ftdetect/haml.vim
170.759  000.066  000.066: sourcing /Users/hongxin/.vim/bundle/vim-go/ftdetect/gofiletype.vim
170.963  009.039  008.576: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/filetype.vim
171.457  000.055  000.055: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/ftplugin.vim
171.926  000.047  000.047: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/indent.vim
173.198  000.312  000.312: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/syncolor.vim
173.386  000.902  000.590: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/synload.vim
173.424  001.353  000.452: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/syntax.vim
173.447  161.175  013.568: sourcing /Users/hongxin/.vimrc.bundles
174.377  000.204  000.204: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/syncolor.vim
175.089  000.042  000.042: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/filetype.vim
175.538  000.032  000.032: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/ftplugin.vim
176.000  000.018  000.018: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/indent.vim
176.680  000.475  000.475: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/nosyntax.vim
177.666  000.209  000.209: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/syncolor.vim
177.846  000.790  000.581: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/synload.vim
177.881  001.754  000.488: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/syntax.vim
214.835  036.497  036.497: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/autoload/provider/clipboard.vim
257.377  000.219  000.219: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/syncolor.vim
258.351  000.208  000.208: sourcing /usr/local/Cellar/neovim/0.3.0/share/nvim/runtime/syntax/syncolor.vim
